"","m","nu","lambda","alpha","envelope_1","envelope_3","envelope_4","envelope_5"
"1",1.6,-5,-5,0.1,0.23844,0.17683,0.03551,0.01636
"2",2.53333333333333,-5,-5,0.1,0.24701,0.26102,0.09728,0.0051
"3",3.46666666666667,-5,-5,0.1,0.23981,0.29868,0.1409,0.00254
"4",4.4,-5,-5,0.1,0.22901,0.30778,0.16241,0.00188
"5",5.33333333333333,-5,-5,0.1,0.21708,0.30595,0.17286,0.00157
"6",6.26666666666667,-5,-5,0.1,0.206,0.29858,0.17198,0.0012
"7",7.2,-5,-5,0.1,0.19607,0.28831,0.17162,0.00123
"8",8.13333333333333,-5,-5,0.1,0.18586,0.2782,0.17166,0.00096
"9",9.06666666666667,-5,-5,0.1,0.17741,0.26897,0.16402,0.00086
"10",10,-5,-5,0.1,0.17057,0.25957,0.16096,0.00086
"11",1.6,-3.88888888888889,-5,0.1,0.27807,0.24648,0.06193,0.02671
"12",2.53333333333333,-3.88888888888889,-5,0.1,0.27347,0.32712,0.14064,0.01144
"13",3.46666666666667,-3.88888888888889,-5,0.1,0.25829,0.34522,0.1803,0.00745
"14",4.4,-3.88888888888889,-5,0.1,0.24028,0.34122,0.1914,0.00569
"15",5.33333333333333,-3.88888888888889,-5,0.1,0.2246,0.32953,0.19279,0.00472
"16",6.26666666666667,-3.88888888888889,-5,0.1,0.21085,0.31624,0.18784,0.0043
"17",7.2,-3.88888888888889,-5,0.1,0.19867,0.30273,0.1827,0.00405
"18",8.13333333333333,-3.88888888888889,-5,0.1,0.18857,0.2889,0.17718,0.00384
"19",9.06666666666667,-3.88888888888889,-5,0.1,0.17995,0.27707,0.17241,0.00376
"20",10,-3.88888888888889,-5,0.1,0.172,0.26633,0.16386,0.00325
"21",1.6,-2.77777777777778,-5,0.1,0.3252,0.35347,0.11625,0.05339
"22",2.53333333333333,-2.77777777777778,-5,0.1,0.29965,0.40257,0.20258,0.03136
"23",3.46666666666667,-2.77777777777778,-5,0.1,0.27221,0.39322,0.22537,0.0246
"24",4.4,-2.77777777777778,-5,0.1,0.24905,0.373,0.22578,0.02109
"25",5.33333333333333,-2.77777777777778,-5,0.1,0.22997,0.35187,0.21441,0.01927
"26",6.26666666666667,-2.77777777777778,-5,0.1,0.21439,0.33088,0.20467,0.01766
"27",7.2,-2.77777777777778,-5,0.1,0.20205,0.3129,0.19344,0.01741
"28",8.13333333333333,-2.77777777777778,-5,0.1,0.19042,0.29777,0.18386,0.01672
"29",9.06666666666667,-2.77777777777778,-5,0.1,0.18143,0.28373,0.17888,0.01641
