"","m","nu","lambda","alpha","theoretical_var","envelope_1","envelope_3","envelope_4","envelope_5","diff_1","diff_3","diff_4","diff_5"
"1",1.6,-5,-5,0.1,0.918055555555555,0.0171196737165779,0.01645388114875,0.0158341032769074,0.659833724676113,-0.900935881838977,-0.901601674406805,-0.902221452278648,-0.258221830879442
"2",10,-5,-5,0.1,0.00063362381989833,0.000554958582457756,0.000555910425300185,0.000557588507330503,0.000619603932853892,-7.8665237440574e-05,-7.7713394598145e-05,-7.6035312567827e-05,-1.4019887044438e-05
"3",1.6,5,-5,0.1,0.918055555555555,0.0168022271628123,0.0172257523599105,0.0161407893342965,0.218817116488872,-0.901253328392743,-0.900829803195644,-0.901914766221258,-0.699238439066683
"4",10,5,-5,0.1,0.00063362381989833,0.000558994036540038,0.000556576848713761,0.000559621734667285,0.000830719844613639,-7.46297833582921e-05,-7.70469711845691e-05,-7.40020852310451e-05,0.000197096024715309
"5",1.6,-5,5,0.1,0.918055555555555,0.0171196737165779,0.01645388114875,0.0170713295730614,0.496780517578779,-0.900935881838977,-0.901601674406805,-0.900984225982494,-0.421275037976776
"6",10,-5,5,0.1,0.00063362381989833,0.000554958582457756,0.000555910425300185,0.00055271153963738,0.00052839823969767,-7.8665237440574e-05,-7.7713394598145e-05,-8.091228026095e-05,-0.00010522558020066
"7",1.6,5,5,0.1,0.918055555555555,0.0168022271628123,0.0172257523599105,0.015855225804904,0.431466519667458,-0.901253328392743,-0.900829803195644,-0.902200329750651,-0.486589035888097
"8",10,5,5,0.1,0.00063362381989833,0.000558994036540038,0.000556576848713761,0.000567692176097293,0.000605756692258575,-7.46297833582921e-05,-7.70469711845691e-05,-6.59316438010371e-05,-2.7867127639755e-05
"9",1.6,-5,-5,10,9180.55555555555,171.196737165779,164.5388114875,238.51798710317,2477.60471793803,-9009.35881838977,-9016.01674406805,-8942.03756845238,-6702.95083761752
"10",10,-5,-5,10,6.3362381989833,5.54958582457756,5.55910425300185,5.5601115532135,6.70344968453236,-0.78665237440574,-0.77713394598145,-0.7761266457698,0.36721148554906
"11",1.6,5,-5,10,9180.55555555555,168.022271628123,172.257523599105,155.920977044498,2395.31072705215,-9012.53328392743,-9008.29803195644,-9024.63457851105,-6785.2448285034
"12",10,5,-5,10,6.3362381989833,5.58994036540038,5.56576848713761,5.62764096844468,4.69206288871062,-0.74629783358292,-0.77046971184569,-0.708597230538619,-1.64417531027268
"13",1.6,-5,5,10,9180.55555555555,171.196737165779,164.5388114875,130.330174952738,3398.68267580612,-9009.35881838977,-9016.01674406805,-9050.22538060281,-5781.87287974943
"14",10,-5,5,10,6.3362381989833,5.54958582457756,5.55910425300185,5.55597034870732,4.82909477859091,-0.78665237440574,-0.77713394598145,-0.78026785027598,-1.50714342039239
"15",1.6,5,5,10,9180.55555555555,168.022271628123,172.257523599105,152.53245108975,19528.7695085724,-9012.53328392743,-9008.29803195644,-9028.0231044658,10348.2139530169
"16",10,5,5,10,6.3362381989833,5.58994036540038,5.56576848713761,5.6800914389367,4.57182812550382,-0.74629783358292,-0.77046971184569,-0.6561467600466,-1.76441007347948
