m,nu,lambda,alpha,theoretical_mean,theoretical_var,envelop_1_empirical_mean,envelop_1_empirical_var,envelope_1_empirical_acceptance,envelop_2_empirical_mean,envelop_2_empirical_var,envelope_2_empirical_acceptance,envelop_3_empirical_mean,envelop_3_empirical_var,envelope_3_empirical_acceptance,envelop_4_empirical_mean,envelop_4_empirical_var,envelope_4_empirical_acceptance,envelop_5_empirical_mean,envelop_5_empirical_var,envelope_5_empirical_acceptance
2,-1,-1,1,-0.5,1.25,-0.750870156,0.359550363,0.36689,-1.300065431,0.151801185,0.62038,-0.751723203,0.347062809,0.55189,-0.75113934,0.351717115,0.32282,-1.000833464,0.981794012,1
10,-1,-1,1,-0.944444444,0.059005084,-0.950467788,0.05352092,0.17716,-1.099232357,0.053955492,0.26284,-0.951651982,0.052378403,0.2759,-0.947443419,0.052353815,0.17472,-0.999535236,0.058735371,1
2,1,-1,1,-1.5,1.25,-1.246075981,0.36202153,0.36653,-1.299460078,0.150041077,0.62157,-1.251198575,0.356287129,0.55017,-1.25239684,0.355583308,0.32669,-1.48974486,1.139097729,0.24212
10,1,-1,1,-1.055555556,0.059005084,-1.049307694,0.052799505,0.17703,-1.098801466,0.052195709,0.26476,-1.050425024,0.052311114,0.27643,-1.051307936,0.051997614,0.17467,-1.05519987,0.058923889,0.21242
2,-1,1,1,1.5,1.25,1.249129844,0.359550363,0.36689,0.699934569,0.151801185,0.62038,1.248276797,0.347062809,0.55189,1.247098755,0.353346789,0.32572,1.004613993,1.080353154,1
10,-1,1,1,1.055555556,0.059005084,1.049532212,0.05352092,0.17716,0.900767643,0.053955492,0.26284,1.048348018,0.052378403,0.2759,1.048741187,0.051496274,0.17549,1.001379795,0.05869605,1
2,1,1,1,0.5,1.25,0.753924019,0.36202153,0.36653,0.700539922,0.150041077,0.62157,0.748801425,0.356287129,0.55017,0.750091793,0.352939423,0.32435,0.504304665,1.155602062,0.24206
10,1,1,1,0.944444444,0.059005084,0.950692306,0.052799505,0.17703,0.901198534,0.052195709,0.26476,0.949574976,0.052311114,0.27643,0.953098103,0.052228161,0.17593,0.943713896,0.059354996,0.21173
2,-1,-1,10,4,125,1.491298439,35.95503634,0.36689,-4.000654309,15.1801185,0.62038,1.482767968,34.70628093,0.55189,1.510263286,35.24791739,0.32343,-0.880481389,98.53126894,1
10,-1,-1,10,-0.444444444,5.900508351,-0.504677882,5.352091979,0.17716,-1.992323571,5.395549166,0.26284,-0.516519824,5.237840334,0.2759,-0.51969848,5.271430689,0.17413,-1.002242295,5.853304222,1
2,1,-1,10,-6,125,-3.460759813,36.20215297,0.36653,-3.994600775,15.00410765,0.62157,-3.511985754,35.62871286,0.55017,-3.496290231,34.70904107,0.32434,-6.009767812,118.4089785,0.24323
10,1,-1,10,-1.555555556,5.900508351,-1.493076937,5.279950455,0.17703,-1.988014656,5.219570877,0.26476,-1.504250235,5.231111395,0.27643,-1.490046039,5.257175794,0.17299,-1.557642706,5.855440022,0.21245
2,-1,1,10,6,125,3.491298439,35.95503634,0.36689,-2.000654309,15.1801185,0.62038,3.482767968,34.70628093,0.55189,3.558007976,35.68794958,0.32421,1.002942797,95.41820471,1
10,-1,1,10,1.555555556,5.900508351,1.495322118,5.352091979,0.17716,0.007676429,5.395549166,0.26284,1.483480176,5.237840334,0.2759,1.504497674,5.227738283,0.17543,1.009400232,5.921504439,1
2,1,1,10,-4,125,-1.460759813,36.20215297,0.36653,-1.994600775,15.00410765,0.62157,-1.511985754,35.62871286,0.55017,-1.41503553,34.07710788,0.32579,-4.073564119,137.8151614,0.23936
10,1,1,10,0.444444444,5.900508351,0.506923063,5.279950455,0.17703,0.011985344,5.219570877,0.26476,0.495749765,5.231111395,0.27643,0.50403875,5.264995101,0.17396,0.426546821,5.852320277,0.21171
