"","m","nu","lambda","alpha","theoretical_mean","envelope_1","envelope_3","envelope_4","envelope_5","diff_1","diff_3","diff_4","diff_5"
"1",1.6,-5,-5,0.1,-4.58333333333333,-4.84327030961423,-4.84409431747678,-4.84059593956802,-4.55275424757271,-0.259936976280899,-0.26076098414345,-0.25726260623469,0.0305790857606203
"2",10,-5,-5,0.1,-4.97222222222222,-4.97520887224021,-4.97497132289003,-4.97477390101929,-4.96891895115409,-0.00298665001799048,-0.00274910066781064,-0.00255167879707052,0.00330327106812955
"3",1.6,5,-5,0.1,-5.41666666666667,-5.15797345929463,-5.15816362045768,-5.15751891527955,-5.39124092044825,0.25869320737204,0.25850304620899,0.259147751387119,0.0254257462184198
"4",10,5,-5,0.1,-5.02777777777778,-5.02494783897012,-5.02510406862115,-5.02481202332613,-5.0365490201726,0.00282993880766025,0.00267370915663001,0.00296575445165015,-0.00877124239482008
"5",1.6,-5,5,0.1,5.41666666666667,5.15672969038577,5.15590568252322,5.15742890256359,5.42084051802676,-0.259936976280899,-0.26076098414345,-0.259237764103079,0.00417385136009063
"6",10,-5,5,0.1,5.02777777777778,5.02479112775979,5.02502867710997,5.02469041715606,5.03189387702222,-0.00298665001799048,-0.00274910066781064,-0.00308736062172077,0.00411609924444001
"7",1.6,5,5,0.1,4.58333333333333,4.84202654070537,4.84183637954232,4.84401775075782,4.57797635775701,0.25869320737204,0.25850304620899,0.26068441742449,-0.00535697557632009
"8",10,5,5,0.1,4.97222222222222,4.97505216102988,4.97489593137885,4.97477972880266,4.97041287963743,0.00282993880766025,0.00267370915663001,0.00255750658044018,-0.0018093425847896
"9",1.6,-5,-5,10,36.6666666666667,10.6729690385775,10.5905682523225,11.2079054974982,34.7331305083051,-25.9936976280892,-26.0760984143442,-25.4587611691685,-1.9335361583616
"10",10,-5,-5,10,-2.22222222222222,-2.52088722402136,-2.49713228900323,-2.50135859734929,-1.84740577987953,-0.29866500179914,-0.27491006678101,-0.27913637512707,0.37481644234269
"11",1.6,5,-5,10,-46.6666666666667,-20.7973459294626,-20.8163620457679,-20.7524445966178,-43.8649242711186,25.8693207372041,25.8503046208988,25.9142220700489,2.8017423955481
"12",10,5,-5,10,-7.77777777777778,-7.49478389701201,-7.51040686211458,-7.4972432166519,-7.59871357593731,0.28299388076577,0.2673709156632,0.28053456112588,0.17906420184047
"13",1.6,-5,5,10,46.6666666666667,20.6729690385775,20.5905682523225,20.3052762938011,46.2931977749844,-25.9936976280892,-26.0760984143442,-26.3613903728656,-0.3734688916823
"14",10,-5,5,10,7.77777777777778,7.47911277597864,7.50286771099677,7.51965901872622,7.86528363932407,-0.29866500179914,-0.27491006678101,-0.258118759051561,0.0875058615462896
"15",1.6,5,5,10,-36.6666666666667,-10.7973459294626,-10.8163620457679,-10.5059572464611,-40.3386907856154,25.8693207372041,25.8503046208988,26.1607094202056,-3.6720241189487
"16",10,5,5,10,2.22222222222222,2.50521610298799,2.48959313788542,2.4847522550758,1.81559812035984,0.28299388076577,0.2673709156632,0.26253003285358,-0.40662410186238
