"","m","nu","lambda","alpha","theoretical_var","envelope_1","envelope_3","envelope_4","envelope_5","diff_1","diff_3","diff_4","diff_5"
"1",1.6,-5,-5,0.1,0.918055555555555,0.0162905420441883,0.0177590167024191,0.0147962019206951,0.887688935425563,-0.901765013511367,-0.900296538853136,-0.90325935363486,-0.0303666201299919
"2",2.53333333333333,-5,-5,0.1,0.0177015366790658,0.00492998835485137,0.00482539262128844,0.00484269439485386,0.0158203042851239,-0.0127715483242144,-0.0128761440577774,-0.0128588422842119,-0.0018812323939419
"3",3.46666666666667,-5,-5,0.1,0.00515392281883349,0.00258097420731555,0.00254868832411353,0.0026603356006199,0.00833071933386497,-0.00257294861151794,-0.00260523449471996,-0.00249358721821359,0.00317679651503148
"4",4.4,-5,-5,0.1,0.00265630593007994,0.00171709286983097,0.00168155719866038,0.00169316369625963,0.00320795394123326,-0.00093921306024897,-0.00097474873141956,-0.00096314223382031,0.00055164801115332
"5",5.33333333333333,-5,-5,0.1,0.00173848726524312,0.00128110620466354,0.00124914020953598,0.00126584259578849,0.00182778971099351,-0.00045738106057958,-0.00048934705570714,-0.00047264466945463,8.930244575039e-05
"6",6.26666666666667,-5,-5,0.1,0.00128530538520925,0.00100429537243157,0.0010051341034425,0.00100923401066115,0.00113154080613487,-0.00028101001277768,-0.00028017128176675,-0.0002760713745481,-0.00015376457907438
"7",7.2,-5,-5,0.1,0.00101981671139347,0.000836912696026732,0.000844895842079459,0.000822554012149716,0.000922155426762467,-0.000182904015366738,-0.000174920869314011,-0.000197262699243754,-9.7661284631003e-05
"8",8.13333333333333,-5,-5,0.1,0.000846352252133232,0.000712815870565959,0.000719727862310321,0.000722400377715572,0.000830191660633094,-0.000133536381567273,-0.000126624389822911,-0.00012395187441766,-1.6160591500138e-05
"9",9.06666666666667,-5,-5,0.1,0.000724261299885934,0.000621680197818504,0.000628673930689122,0.000626706372974953,0.000667607017088136,-0.00010258110206743,-9.55873691968121e-05,-9.7554926910981e-05,-5.6654282797798e-05
"10",10,-5,-5,0.1,0.00063362381989833,0.000559747130519472,0.000558311168581663,0.000554300235793779,0.000684868066763125,-7.3876689378858e-05,-7.53126513166671e-05,-7.9323584104551e-05,5.1244246864795e-05
"11",1.6,-3.88888888888889,-5,0.1,0.575120027434842,0.0119239770888446,0.0127375828935591,0.0108320430549673,0.204692340471548,-0.563196050345997,-0.562382444541283,-0.564287984379875,-0.370427686963294
"12",2.53333333333333,-3.88888888888889,-5,0.1,0.0126199260117487,0.0039552659646147,0.00392630728238525,0.00390820843974648,0.0111373524254392,-0.008664660047134,-0.00869361872936345,-0.00871171757200222,-0.0014825735863095
"13",3.46666666666667,-3.88888888888889,-5,0.1,0.00412219938674359,0.00227211190142068,0.00219905637086649,0.00223393536616006,0.00599242550467507,-0.00185008748532291,-0.0019231430158771,-0.00188826402058353,0.00187022611793148
"14",4.4,-3.88888888888889,-5,0.1,0.00228804202922248,0.00154812677587378,0.00152730264203748,0.00149678230285032,0.00240668418981442,-0.0007399152533487,-0.000760739387185,-0.00079125972637216,0.00011864216059194
"15",5.33333333333333,-3.88888888888889,-5,0.1,0.00156697538804562,0.00117080328818474,0.00117687994205153,0.00116849978354181,0.00158781670866887,-0.00039617209986088,-0.00039009544599409,-0.00039847560450381,2.08413206232501e-05
"16",6.26666666666667,-3.88888888888889,-5,0.1,0.00119193083261342,0.000948087535757771,0.00096704795966392,0.000958376426927587,0.00136492827105151,-0.000243843296855649,-0.0002248828729495,-0.000233554405685833,0.00017299743843809
"17",7.2,-3.88888888888889,-5,0.1,0.000963471534529339,0.000797867765333685,0.00081120249139798,0.000800677935849681,0.00107575524783532,-0.000165603769195654,-0.000152269043131359,-0.000162793598679658,0.000112283713305981
"18",8.13333333333333,-3.88888888888889,-5,0.1,0.000809776090982762,0.000685120044819845,0.000694715237144505,0.000691609219949467,0.000811742927613512,-0.000124656046162917,-0.000115060853838257,-0.000118166871033295,1.96683663074998e-06
"19",9.06666666666667,-3.88888888888889,-5,0.1,0.00069918738449074,0.000611375117507624,0.000613135569831139,0.000616335542810606,0.000704232936093491,-8.7812266983116e-05,-8.6051814659601e-05,-8.2851841680134e-05,5.04555160275096e-06
"20",10,-3.88888888888889,-5,0.1,0.00061569255045411,0.000549287665248017,0.000545034063186217,0.000539808648035662,0.000610801311113864,-6.64048852060929e-05,-7.06584872678929e-05,-7.58839024184479e-05,-4.891239340246e-06
"21",1.6,-2.77777777777778,-5,0.1,0.317918381344307,0.00827795361216591,0.00808745604343989,0.00740985621871523,0.127038326969134,-0.309640427732141,-0.309830925300867,-0.310508525125592,-0.190880054375173
"22",2.53333333333333,-2.77777777777778,-5,0.1,0.00880871801126085,0.0032014773627962,0.00324951756777388,0.00326715741814191,0.00831655259801938,-0.00560724064846465,-0.00555920044348697,-0.00554156059311894,-0.00049216541324147
"23",3.46666666666667,-2.77777777777778,-5,0.1,0.00334840681267617,0.0019983235041901,0.00194865047192825,0.00192190254655194,0.0032090335856821,-0.00135008330848607,-0.00139975634074792,-0.00142650426612423,-0.00013937322699407
"24",4.4,-2.77777777777778,-5,0.1,0.00201184410357938,0.00141920180178231,0.00142313353101577,0.00141551045928517,0.00214198177326842,-0.00059264230179707,-0.00058871057256361,-0.00059633364429421,0.00013013766968904
"25",5.33333333333333,-2.77777777777778,-5,0.1,0.0014383414801475,0.00110849479315251,0.00112362080623982,0.00110765587563027,0.00145734578780209,-0.00032984668699499,-0.00031472067390768,-0.00033068560451723,1.90043076545899e-05
